ПОСЛЕДОВАТЕЛЬНОСТЬ ТОКЕНОВ
Лексема | Тип | id в таблице | Строка | Позиция
) | DELIMITER | 3 | 27 | 19
; | DELIMITER | 5 | 27 | 20
check | IDENTIFIER | 19 | 28 | 1
= | OPERATOR | 4 | 28 | 7
is_even | IDENTIFIER | 8 | 28 | 9
( | DELIMITER | 2 | 28 | 16
sum | IDENTIFIER | 13 | 28 | 17
) | DELIMITER | 3 | 28 | 20
&& | OPERATOR | 13 | 28 | 22
( | DELIMITER | 2 | 28 | 25
product | IDENTIFIER | 15 | 28 | 26
> | OPERATOR | 3 | 28 | 34
difference | IDENTIFIER | 14 | 28 | 36
) | DELIMITER | 3 | 28 | 46
; | DELIMITER | 5 | 28 | 47
if | KEYWORD | 7 | 29 | 1
( | DELIMITER | 2 | 29 | 4
check | IDENTIFIER | 19 | 29 | 5
) | DELIMITER | 3 | 29 | 10
{ | DELIMITER | 4 | 29 | 12
printf | IDENTIFIER | 20 | 30 | 1
( | DELIMITER | 2 | 30 | 7
"Condition is true\n" | CONSTANT_STRING | 1 | 30 | 8
) | DELIMITER | 3 | 30 | 29
; | DELIMITER | 5 | 30 | 30
} | DELIMITER | 6 | 31 | 1
else | KEYWORD | 8 | 31 | 3
{ | DELIMITER | 4 | 31 | 8
printf | IDENTIFIER | 20 | 32 | 1
( | DELIMITER | 2 | 32 | 7
"Condition is false\n" | CONSTANT_STRING | 2 | 32 | 8
) | DELIMITER | 3 | 32 | 30
; | DELIMITER | 5 | 32 | 31
} | DELIMITER | 6 | 33 | 1
while | KEYWORD | 9 | 34 | 1
( | DELIMITER | 2 | 34 | 7
counter | IDENTIFIER | 17 | 34 | 8
< | OPERATOR | 2 | 34 | 16
3 | CONSTANT_INT | 5 | 34 | 18
) | DELIMITER | 3 | 34 | 19
{ | DELIMITER | 4 | 34 | 21
printf | IDENTIFIER | 20 | 35 | 1
( | DELIMITER | 2 | 35 | 7
"counter = %d\n" | CONSTANT_STRING | 3 | 35 | 8
, | DELIMITER | 7 | 35 | 24
counter | IDENTIFIER | 17 | 35 | 26
) | DELIMITER | 3 | 35 | 33
; | DELIMITER | 5 | 35 | 34
counter | IDENTIFIER | 17 | 36 | 1
= | OPERATOR | 4 | 36 | 9
counter | IDENTIFIER | 17 | 36 | 11
+ | OPERATOR | 10 | 36 | 19
1 | CONSTANT_INT | 1 | 36 | 21
; | DELIMITER | 5 | 36 | 22
} | DELIMITER | 6 | 37 | 1
for | KEYWORD | 3 | 38 | 1
( | DELIMITER | 2 | 38 | 5
int | KEYWORD | 2 | 38 | 6
i | IDENTIFIER | 7 | 38 | 10
= | OPERATOR | 4 | 38 | 12
0 | CONSTANT_INT | 3 | 38 | 14
; | DELIMITER | 5 | 38 | 15
i | IDENTIFIER | 7 | 38 | 17
< | OPERATOR | 2 | 38 | 19
5 | CONSTANT_INT | 4 | 38 | 21
; | DELIMITER | 5 | 38 | 22
i | IDENTIFIER | 7 | 38 | 24
++ | OPERATOR | 6 | 38 | 25
) | DELIMITER | 3 | 38 | 27
{ | DELIMITER | 4 | 38 | 29
printf | IDENTIFIER | 20 | 39 | 1
( | DELIMITER | 2 | 39 | 7
"i = %d\n" | CONSTANT_STRING | 4 | 39 | 8
, | DELIMITER | 7 | 39 | 18
i | IDENTIFIER | 7 | 39 | 20
) | DELIMITER | 3 | 39 | 21
; | DELIMITER | 5 | 39 | 22
} | DELIMITER | 6 | 40 | 1
printf | IDENTIFIER | 20 | 41 | 1
( | DELIMITER | 2 | 41 | 7
"sum = %d\n" | CONSTANT_STRING | 5 | 41 | 8
, | DELIMITER | 7 | 41 | 20
sum | IDENTIFIER | 13 | 41 | 22
) | DELIMITER | 3 | 41 | 25
; | DELIMITER | 5 | 41 | 26
printf | IDENTIFIER | 20 | 42 | 1
( | DELIMITER | 2 | 42 | 7
"difference = %d\n" | CONSTANT_STRING | 6 | 42 | 8
, | DELIMITER | 7 | 42 | 27
difference | IDENTIFIER | 14 | 42 | 29
) | DELIMITER | 3 | 42 | 39
; | DELIMITER | 5 | 42 | 40
printf | IDENTIFIER | 20 | 43 | 1
( | DELIMITER | 2 | 43 | 7
"product = %d\n" | CONSTANT_STRING | 7 | 43 | 8
, | DELIMITER | 7 | 43 | 24
